Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Marsala Food Company,https://www.zomato.com/hyderabad/marsala-food-company-gachibowli,700.0,"Mandi, Great Buffets, The ‘Must Visit’ Eateries","Arabian, North Indian, Chinese","12noon to 4pm, 7pm to 12midnight (Mon-Sun)",3,3,3.46,1.540169215417972,2.76,178.47191011235955,1,Mid,0,Mid-Premium / Photogenic,-0.8305702025783268,1.1738581265839032,Mid-Premium / Photogenic
Club Rogue,https://www.zomato.com/hyderabad/club-rogue-gachibowli,900.0,,"North Indian, Fast Food",11 AM to 12 Midnight,2,0,2.88,1.5260697523012798,0.12,132.56382978723406,1,Upper-Mid,1,Budget Everyday,1.7099884955895954,0.13533728821176305,Budget Everyday
Mazzo - Marriott Executive Apartments,https://www.zomato.com/hyderabad/mazzo-marriott-executive-apartments-gachibowli,1700.0,"Top-Rated, Gold Curated, Fancy and Fun","Italian, North Indian, South Indian, Asian",6am to 12midnight (Mon-Sun),4,3,4.19,1.160764290187176,1.46,201.41379310344828,1,Premium,2,Premium & Curated,-2.8563889764798396,0.39640691001158046,Premium & Curated
Green Bawarchi Restaurant,https://www.zomato.com/hyderabad/green-bawarchi-restaurant-gachibowli,700.0,,"North Indian, Chinese, Biryani",12 Noon to 11 PM,3,0,3.49,1.6544705277739848,0.06,105.45283018867924,1,Mid,1,Budget Everyday,1.3471419047396833,0.24833703795526396,Budget Everyday
Banana Leaf Multicuisine Restaurant,https://www.zomato.com/hyderabad/banana-leaf-multicuisine-restaurant-gachibowli,700.0,Great Buffets,"Biryani, South Indian, North Indian, Chinese, Andhra","12:30 PM to 3:30 PM, 7 PM to 10:40 PM",5,1,3.69,1.2528351685660648,0.42,94.1875,1,Mid,0,Mid-Premium / Photogenic,-0.5371488330011087,0.6342509699654961,Mid-Premium / Photogenic
Kritunga Restaurant,https://www.zomato.com/hyderabad/kritunga-restaurant-gachibowli,500.0,,"Andhra, Biryani, Hyderabadi, North Indian","12 Noon to 4 PM, 7 PM to 11 PM",4,0,3.47,1.6542262984442746,0.14,37.05,1,Budget,1,Budget Everyday,1.2665281719562616,0.7452460424452296,Budget Everyday
The Glass Onion,https://www.zomato.com/hyderabad/the-glass-onion-gachibowli,1200.0,Fancy and Fun,"North Indian, Continental, Italian, Asian","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",4,1,3.83,1.3337499349161706,1.58,152.09375,1,Upper-Mid,0,Mid-Premium / Photogenic,-1.214672305956039,0.48502215919821323,Mid-Premium / Photogenic
Deli 9 Bistro,https://www.zomato.com/hyderabad/deli-9-bistro-gachibowli,700.0,,"Cafe, Continental, Desserts",12 Noon to 10:30 PM,3,0,3.82,1.1492641475344478,1.35,299.0,1,Mid,0,Mid-Premium / Photogenic,-0.4640381212237869,-0.8149424634081085,Mid-Premium / Photogenic
Frio Bistro,https://www.zomato.com/hyderabad/frio-bistro-gachibowli,1200.0,,"European, Italian, Continental, Spanish",12noon to 11pm (Mon-Sun),4,0,3.61,1.188284562729064,1.01,180.30434782608697,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.763004369273469,0.10318172155909688,Mid-Premium / Photogenic
Karachi Bakery,https://www.zomato.com/hyderabad/karachi-bakery-gachibowli,500.0,,"Bakery, Fast Food, Desserts",10 AM to 10 PM,3,0,3.8,1.4770978917519928,0.39,198.075,1,Budget,1,Budget Everyday,0.7673224039216634,-0.39926371089016277,Budget Everyday
